"Latitude","Longitude","Species","DBH"
47.5892951369,-122.066416571,"Cedar, Western Red (Thuja plicata)",26
47.5894889397,-122.066398032,"Sweetgum, Common (Liquidambar styraciflua)",8
47.5895235644,-122.066423701,"Sweetgum, Common (Liquidambar styraciflua)",8
47.5886940069,-122.066589839,"Fir, Douglas (Pseudotsuga menziesii)",32
47.5885838792,-122.066606239,"Cedar, Western Red (Thuja plicata)",55
47.6374323379,-122.065845619,"Sweetgum, Common (Liquidambar styraciflua)",7
47.6375193009,-122.065907653,"Pine (Pinus species)",11
47.6375380387,-122.065919061,"Pine (Pinus species)",12
47.637574073,-122.065926192,"Pine (Pinus species)",10
47.6375817603,-122.065978244,"Pine (Pinus species)",10
47.6375860845,-122.066026017,"Pine (Pinus species)",10
47.6375365973,-122.066185024,"Sweetgum, Common (Liquidambar styraciflua)",10
47.6374871102,-122.066267737,"Sweetgum, Common (Liquidambar styraciflua)",8
47.6374381034,-122.066336188,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6376999527,-122.065662368,"Maple, Red (Acer rubrum)",6
47.6374895125,-122.065706576,"Maple, Red (Acer rubrum)",8
47.6377196514,-122.065548995,"Maple, Red (Acer rubrum)",8
